LGA_NAME16	Occupation	OccupationSubtype	workers
Bland (A)	Technicians and trades workers	Skilled animal and horticultural workers	46
Bland (A)	Technicians and trades workers	Technicians and trades workers nfd	4
Blayney (A)			54
Blayney (A)	Clerical and administrative workers	Clerical and office support workers	15
Blayney (A)	Clerical and administrative workers	General clerical workers	61
Blayney (A)	Clerical and administrative workers	Inquiry clerks and receptionists	18
Blayney (A)	Clerical and administrative workers	Numerical clerks	48
Blayney (A)	Clerical and administrative workers	Office managers and program administrators	35
Blayney (A)	Clerical and administrative workers	Other clerical and administrative workers	34
Blayney (A)	Clerical and administrative workers	Personal assistants and secretaries	17
Blayney (A)	Community and personal service workers	Carers and aides	94
Blayney (A)	Community and personal service workers	Health and welfare support workers	24
Blayney (A)	Community and personal service workers	Hospitality workers	49
Blayney (A)	Community and personal service workers	Protective service workers	21
Blayney (A)	Community and personal service workers	Sports and personal service workers	13
Blayney (A)	Labourers	Cleaners and laundry workers	69
Blayney (A)	Labourers	Construction and mining labourers	45
Blayney (A)	Labourers	Factory process workers	135
Blayney (A)	Labourers	Farm forestry and garden workers	62
Blayney (A)	Labourers	Food preparation assistants	35
Blayney (A)	Labourers	Labourers nfd	5
Blayney (A)	Labourers	Other labourers	59
Blayney (A)	Machinery operators and drivers	Machine and stationary plant operators	305
Blayney (A)	Machinery operators and drivers	Machinery operators and drivers nfd	5
Blayney (A)	Machinery operators and drivers	Mobile plant operators	66
Blayney (A)	Machinery operators and drivers	Road and rail drivers	80
Blayney (A)	Machinery operators and drivers	Storepersons	33
Blayney (A)	Managers	Chief executives general managers and legislators	12
Blayney (A)	Managers	Farmers and farm managers	296
Blayney (A)	Managers	Hospitality retail and service managers	88
Blayney (A)	Managers	Managers nfd	3
Blayney (A)	Managers	Specialist managers	142
Blayney (A)	Professionals	Arts and media professionals	11
Blayney (A)	Professionals	Business human resource and marketing professionals	45
Blayney (A)	Professionals	Design engineering science and transport professionals	97
Blayney (A)	Professionals	Education professionals	115
Blayney (A)	Professionals	Health professionals	60
Blayney (A)	Professionals	Information and Communication Technology ICT professionals	7
Blayney (A)	Professionals	Legal social and welfare professionals	8
Blayney (A)	Sales workers	Sales assistants and salespersons	98
Blayney (A)	Sales workers	Sales representatives and agents	32
Blayney (A)	Sales workers	Sales support workers	30
Blayney (A)	Technicians and trades workers	Automotive and engineering trades workers	185
Blayney (A)	Technicians and trades workers	Construction trades workers	31
Blayney (A)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	89
Blayney (A)	Technicians and trades workers	Engineering ICT and science technicians	89
Blayney (A)	Technicians and trades workers	Food trades workers	39
Blayney (A)	Technicians and trades workers	Other technicians and trades workers	23
Blayney (A)	Technicians and trades workers	Skilled animal and horticultural workers	25
Blayney (A)	Technicians and trades workers	Technicians and trades workers nfd	4
Blue Mountains (C)			250
Blue Mountains (C)	Clerical and administrative workers	Clerical and office support workers	75
Blue Mountains (C)	Clerical and administrative workers	General clerical workers	470
Blue Mountains (C)	Clerical and administrative workers	Inquiry clerks and receptionists	417
Blue Mountains (C)	Clerical and administrative workers	Numerical clerks	383
Blue Mountains (C)	Clerical and administrative workers	Office managers and program administrators	399
Blue Mountains (C)	Clerical and administrative workers	Other clerical and administrative workers	222
Blue Mountains (C)	Clerical and administrative workers	Personal assistants and secretaries	176
Blue Mountains (C)	Community and personal service workers	Carers and aides	1293
Blue Mountains (C)	Community and personal service workers	Health and welfare support workers	346
Blue Mountains (C)	Community and personal service workers	Hospitality workers	940
Blue Mountains (C)	Community and personal service workers	Protective service workers	216
Blue Mountains (C)	Community and personal service workers	Sports and personal service workers	379
Blue Mountains (C)	Labourers	Cleaners and laundry workers	586
Blue Mountains (C)	Labourers	Construction and mining labourers	150
Blue Mountains (C)	Labourers	Factory process workers	96
Blue Mountains (C)	Labourers	Farm forestry and garden workers	185
Blue Mountains (C)	Labourers	Food preparation assistants	407
Blue Mountains (C)	Labourers	Labourers nfd	34
Blue Mountains (C)	Labourers	Other labourers	414
Blue Mountains (C)	Machinery operators and drivers	Machine and stationary plant operators	66
Blue Mountains (C)	Machinery operators and drivers	Machinery operators and drivers nfd	20
Blue Mountains (C)	Machinery operators and drivers	Mobile plant operators	50
Blue Mountains (C)	Machinery operators and drivers	Road and rail drivers	398
Blue Mountains (C)	Machinery operators and drivers	Storepersons	55
Blue Mountains (C)	Managers	Chief executives general managers and legislators	140
Blue Mountains (C)	Managers	Farmers and farm managers	36
Blue Mountains (C)	Managers	Hospitality retail and service managers	1016
Blue Mountains (C)	Managers	Managers nfd	40
Blue Mountains (C)	Managers	Specialist managers	785
Blue Mountains (C)	Professionals	Arts and media professionals	393
Blue Mountains (C)	Professionals	Business human resource and marketing professionals	532
Blue Mountains (C)	Professionals	Design engineering science and transport professionals	454
Blue Mountains (C)	Professionals	Education professionals	1379
Blue Mountains (C)	Professionals	Health professionals	971
Blue Mountains (C)	Professionals	Information and Communication Technology ICT professionals	135
Blue Mountains (C)	Professionals	Legal social and welfare professionals	380
Blue Mountains (C)	Professionals	Professionals nfd	49
Blue Mountains (C)	Sales workers	Sales assistants and salespersons	1228
Blue Mountains (C)	Sales workers	Sales representatives and agents	260
Blue Mountains (C)	Sales workers	Sales support workers	302
Blue Mountains (C)	Sales workers	Sales workers nfd	3
Blue Mountains (C)	Technicians and trades workers	Automotive and engineering trades workers	244
Blue Mountains (C)	Technicians and trades workers	Construction trades workers	485
Blue Mountains (C)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	212
Blue Mountains (C)	Technicians and trades workers	Engineering ICT and science technicians	223
Blue Mountains (C)	Technicians and trades workers	Food trades workers	518
Blue Mountains (C)	Technicians and trades workers	Other technicians and trades workers	281
Blue Mountains (C)	Technicians and trades workers	Skilled animal and horticultural workers	331
Blue Mountains (C)	Technicians and trades workers	Technicians and trades workers nfd	12
Bogan (A)			28
Bogan (A)	Clerical and administrative workers	Clerical and office support workers	3
Bogan (A)	Clerical and administrative workers	General clerical workers	21
Bogan (A)	Clerical and administrative workers	Inquiry clerks and receptionists	14
Bogan (A)	Clerical and administrative workers	Numerical clerks	24
Bogan (A)	Clerical and administrative workers	Office managers and program administrators	11
Bogan (A)	Clerical and administrative workers	Other clerical and administrative workers	20
Bogan (A)	Clerical and administrative workers	Personal assistants and secretaries	5
Bogan (A)	Community and personal service workers	Carers and aides	63
Bogan (A)	Community and personal service workers	Health and welfare support workers	23
Bogan (A)	Community and personal service workers	Hospitality workers	23
Bogan (A)	Community and personal service workers	Protective service workers	15
Bogan (A)	Community and personal service workers	Sports and personal service workers	6
Bogan (A)	Labourers	Cleaners and laundry workers	40
Bogan (A)	Labourers	Construction and mining labourers	20
Bogan (A)	Labourers	Factory process workers	7
Bogan (A)	Labourers	Farm forestry and garden workers	51
Bogan (A)	Labourers	Food preparation assistants	9
Bogan (A)	Labourers	Labourers nfd	7
Bogan (A)	Labourers	Other labourers	23
Bogan (A)	Machinery operators and drivers	Machine and stationary plant operators	116
Bogan (A)	Machinery operators and drivers	Machinery operators and drivers nfd	5
Bogan (A)	Machinery operators and drivers	Mobile plant operators	24
Bogan (A)	Machinery operators and drivers	Road and rail drivers	35
Bogan (A)	Machinery operators and drivers	Storepersons	5
Bogan (A)	Managers	Chief executives general managers and legislators	4
Bogan (A)	Managers	Farmers and farm managers	196
Bogan (A)	Managers	Hospitality retail and service managers	50
Bogan (A)	Managers	Specialist managers	41
Bogan (A)	Professionals	Business human resource and marketing professionals	20
Bogan (A)	Professionals	Design engineering science and transport professionals	30
Bogan (A)	Professionals	Education professionals	55
Bogan (A)	Professionals	Health professionals	25
Bogan (A)	Professionals	Legal social and welfare professionals	11
Bogan (A)	Sales workers	Sales assistants and salespersons	39
Bogan (A)	Sales workers	Sales representatives and agents	11
Bogan (A)	Sales workers	Sales support workers	14
Bogan (A)	Technicians and trades workers	Automotive and engineering trades workers	81
