LGA_NAME16	EmploymentStatus	Sex	workers
Surf Coast (S)	Owner managers of unincorporated enterprises	M	729
Swan Hill (RC)		F	72
Swan Hill (RC)		M	100
Swan Hill (RC)	Contributing family workers	F	150
Swan Hill (RC)	Contributing family workers	M	236
Swan Hill (RC)	Employee	F	3436
Swan Hill (RC)	Employee	M	3361
Swan Hill (RC)	Owner managers of incorporated enterprises	F	221
Swan Hill (RC)	Owner managers of incorporated enterprises	M	497
Swan Hill (RC)	Owner managers of unincorporated enterprises	F	255
Swan Hill (RC)	Owner managers of unincorporated enterprises	M	471
Towong (S)		F	17
Towong (S)		M	24
Towong (S)	Contributing family workers	F	82
Towong (S)	Contributing family workers	M	101
Towong (S)	Employee	F	664
Towong (S)	Employee	M	513
Towong (S)	Owner managers of incorporated enterprises	F	56
Towong (S)	Owner managers of incorporated enterprises	M	128
Towong (S)	Owner managers of unincorporated enterprises	F	146
Towong (S)	Owner managers of unincorporated enterprises	M	284
Wangaratta (RC)		F	90
Wangaratta (RC)		M	95
Wangaratta (RC)	Contributing family workers	F	164
Wangaratta (RC)	Contributing family workers	M	193
Wangaratta (RC)	Employee	F	5461
Wangaratta (RC)	Employee	M	4360
Wangaratta (RC)	Owner managers of incorporated enterprises	F	255
Wangaratta (RC)	Owner managers of incorporated enterprises	M	542
Wangaratta (RC)	Owner managers of unincorporated enterprises	F	448
Wangaratta (RC)	Owner managers of unincorporated enterprises	M	700
Warrnambool (C)		F	107
Warrnambool (C)		M	95
Warrnambool (C)	Contributing family workers	F	107
Warrnambool (C)	Contributing family workers	M	80
Warrnambool (C)	Employee	F	7603
Warrnambool (C)	Employee	M	5922
Warrnambool (C)	Owner managers of incorporated enterprises	F	250
Warrnambool (C)	Owner managers of incorporated enterprises	M	557
Warrnambool (C)	Owner managers of unincorporated enterprises	F	434
Warrnambool (C)	Owner managers of unincorporated enterprises	M	598
Wellington (S)		F	99
Wellington (S)		M	133
Wellington (S)	Contributing family workers	F	285
Wellington (S)	Contributing family workers	M	288
Wellington (S)	Employee	F	6584
Wellington (S)	Employee	M	6963
Wellington (S)	Owner managers of incorporated enterprises	F	292
Wellington (S)	Owner managers of incorporated enterprises	M	600
Wellington (S)	Owner managers of unincorporated enterprises	F	734
Wellington (S)	Owner managers of unincorporated enterprises	M	1095
West Wimmera (S)		F	11
West Wimmera (S)		M	20
West Wimmera (S)	Contributing family workers	F	92
West Wimmera (S)	Contributing family workers	M	158
West Wimmera (S)	Employee	F	427
West Wimmera (S)	Employee	M	426
West Wimmera (S)	Owner managers of incorporated enterprises	F	38
West Wimmera (S)	Owner managers of incorporated enterprises	M	92
West Wimmera (S)	Owner managers of unincorporated enterprises	F	130
West Wimmera (S)	Owner managers of unincorporated enterprises	M	282
Whitehorse (C)		F	227
Whitehorse (C)		M	267
Whitehorse (C)	Contributing family workers	F	467
Whitehorse (C)	Contributing family workers	M	403
Whitehorse (C)	Employee	F	32707
Whitehorse (C)	Employee	M	26176
Whitehorse (C)	Owner managers of incorporated enterprises	F	1504
Whitehorse (C)	Owner managers of incorporated enterprises	M	3431
Whitehorse (C)	Owner managers of unincorporated enterprises	F	1706
Whitehorse (C)	Owner managers of unincorporated enterprises	M	2293
Whittlesea (C)		F	256
Whittlesea (C)		M	407
Whittlesea (C)	Contributing family workers	F	365
Whittlesea (C)	Contributing family workers	M	303
Whittlesea (C)	Employee	F	22924
Whittlesea (C)	Employee	M	21388
Whittlesea (C)	Owner managers of incorporated enterprises	F	1060
Whittlesea (C)	Owner managers of incorporated enterprises	M	3193
Whittlesea (C)	Owner managers of unincorporated enterprises	F	1182
Whittlesea (C)	Owner managers of unincorporated enterprises	M	2065
Wodonga (C)		F	69
Wodonga (C)		M	100
Wodonga (C)	Contributing family workers	F	103
Wodonga (C)	Contributing family workers	M	86
Wodonga (C)	Employee	F	7536
Wodonga (C)	Employee	M	8998
Wodonga (C)	Owner managers of incorporated enterprises	F	295
Wodonga (C)	Owner managers of incorporated enterprises	M	636
Wodonga (C)	Owner managers of unincorporated enterprises	F	395
Wodonga (C)	Owner managers of unincorporated enterprises	M	596
Wyndham (C)		F	271
Wyndham (C)		M	420
Wyndham (C)	Contributing family workers	F	424
Wyndham (C)	Contributing family workers	M	361
Wyndham (C)	Employee	F	23872
Wyndham (C)	Employee	M	28567
Wyndham (C)	Owner managers of incorporated enterprises	F	1126
Wyndham (C)	Owner managers of incorporated enterprises	M	3013
Wyndham (C)	Owner managers of unincorporated enterprises	F	1749
Wyndham (C)	Owner managers of unincorporated enterprises	M	2105
Yarra (C)		F	303
Yarra (C)		M	342
Yarra (C)	Contributing family workers	F	315
Yarra (C)	Contributing family workers	M	351
Yarra (C)	Employee	F	36201
Yarra (C)	Employee	M	33160
Yarra (C)	Owner managers of incorporated enterprises	F	1635
Yarra (C)	Owner managers of incorporated enterprises	M	4113
Yarra (C)	Owner managers of unincorporated enterprises	F	1994
Yarra (C)	Owner managers of unincorporated enterprises	M	2701
Yarra Ranges (S)		F	202
Yarra Ranges (S)		M	256
Yarra Ranges (S)	Contributing family workers	F	569
Yarra Ranges (S)	Contributing family workers	M	424
Yarra Ranges (S)	Employee	F	16539
Yarra Ranges (S)	Employee	M	13343
Yarra Ranges (S)	Owner managers of incorporated enterprises	F	1254
Yarra Ranges (S)	Owner managers of incorporated enterprises	M	2553
Yarra Ranges (S)	Owner managers of unincorporated enterprises	F	1852
Yarra Ranges (S)	Owner managers of unincorporated enterprises	M	2553
Yarriambiack (S)		F	19
Yarriambiack (S)		M	24
Yarriambiack (S)	Contributing family workers	F	86
Yarriambiack (S)	Contributing family workers	M	172
Yarriambiack (S)	Employee	F	874
Yarriambiack (S)	Employee	M	746
Yarriambiack (S)	Owner managers of incorporated enterprises	F	75
Yarriambiack (S)	Owner managers of incorporated enterprises	M	199
Yarriambiack (S)	Owner managers of unincorporated enterprises	F	106
Yarriambiack (S)	Owner managers of unincorporated enterprises	M	250
Unincorporated Vic		F	11
Unincorporated Vic		M	11
Unincorporated Vic	Contributing family workers	F	10
Unincorporated Vic	Contributing family workers	M	12
Unincorporated Vic	Employee	F	886
Unincorporated Vic	Employee	M	1058
Unincorporated Vic	Owner managers of incorporated enterprises	F	27
Unincorporated Vic	Owner managers of incorporated enterprises	M	74
Unincorporated Vic	Owner managers of unincorporated enterprises	F	37
Unincorporated Vic	Owner managers of unincorporated enterprises	M	52
No usual address (Vic.)		F	530
No usual address (Vic.)		M	1711
No usual address (Vic.)	Contributing family workers	F	569
No usual address (Vic.)	Contributing family workers	M	1043
No usual address (Vic.)	Employee	F	19561
No usual address (Vic.)	Employee	M	46461
No usual address (Vic.)	Owner managers of incorporated enterprises	F	1319
No usual address (Vic.)	Owner managers of incorporated enterprises	M	13848
No usual address (Vic.)	Owner managers of unincorporated enterprises	F	6522
No usual address (Vic.)	Owner managers of unincorporated enterprises	M	27461
Migratory - Offshore - Shipping (Vic.)		M	3
Migratory - Offshore - Shipping (Vic.)	Contributing family workers	M	3
Migratory - Offshore - Shipping (Vic.)	Employee	F	8
Migratory - Offshore - Shipping (Vic.)	Employee	M	131
Migratory - Offshore - Shipping (Vic.)	Owner managers of incorporated enterprises	M	4
Migratory - Offshore - Shipping (Vic.)	Owner managers of unincorporated enterprises	M	4
Aurukun (S)	Employee	F	108
Aurukun (S)	Employee	M	162
Aurukun (S)	Owner managers of incorporated enterprises	F	3
Aurukun (S)	Owner managers of incorporated enterprises	M	3
Aurukun (S)	Owner managers of unincorporated enterprises	M	6
Balonne (S)		F	13
Balonne (S)		M	16
Balonne (S)	Contributing family workers	F	83
Balonne (S)	Contributing family workers	M	94
Balonne (S)	Employee	F	717
Balonne (S)	Employee	M	714
Balonne (S)	Owner managers of incorporated enterprises	F	83
Balonne (S)	Owner managers of incorporated enterprises	M	152
Balonne (S)	Owner managers of unincorporated enterprises	F	82
Balonne (S)	Owner managers of unincorporated enterprises	M	162
Banana (S)		F	48
Banana (S)		M	71
Banana (S)	Contributing family workers	F	239
Banana (S)	Contributing family workers	M	237
Banana (S)	Employee	F	2509
Banana (S)	Employee	M	3883
Banana (S)	Owner managers of incorporated enterprises	F	122
Banana (S)	Owner managers of incorporated enterprises	M	259
Banana (S)	Owner managers of unincorporated enterprises	F	299
Banana (S)	Owner managers of unincorporated enterprises	M	487
Barcaldine (R)		F	6
Barcaldine (R)		M	14
Barcaldine (R)	Contributing family workers	F	69
Barcaldine (R)	Contributing family workers	M	70
Barcaldine (R)	Employee	F	488
Barcaldine (R)	Employee	M	499
Barcaldine (R)	Owner managers of incorporated enterprises	F	41
Barcaldine (R)	Owner managers of incorporated enterprises	M	60
Barcaldine (R)	Owner managers of unincorporated enterprises	F	83
Barcaldine (R)	Owner managers of unincorporated enterprises	M	111
Barcoo (S)		M	4
Barcoo (S)	Contributing family workers	F	7
Barcoo (S)	Contributing family workers	M	9
Barcoo (S)	Employee	F	63
Barcoo (S)	Employee	M	95
Barcoo (S)	Owner managers of incorporated enterprises	M	5
Barcoo (S)	Owner managers of unincorporated enterprises	F	13
Barcoo (S)	Owner managers of unincorporated enterprises	M	15
Blackall-Tambo (R)		F	5
Blackall-Tambo (R)		M	12
Blackall-Tambo (R)	Contributing family workers	F	41
Blackall-Tambo (R)	Contributing family workers	M	45
Blackall-Tambo (R)	Employee	F	295
Blackall-Tambo (R)	Employee	M	248
Blackall-Tambo (R)	Owner managers of incorporated enterprises	F	20
Blackall-Tambo (R)	Owner managers of incorporated enterprises	M	48
Blackall-Tambo (R)	Owner managers of unincorporated enterprises	F	54
Blackall-Tambo (R)	Owner managers of unincorporated enterprises	M	90
Boulia (S)	Contributing family workers	F	3
Boulia (S)	Contributing family workers	M	10
Boulia (S)	Employee	F	86
Boulia (S)	Employee	M	106
Boulia (S)	Owner managers of incorporated enterprises	F	4
Boulia (S)	Owner managers of incorporated enterprises	M	6
Boulia (S)	Owner managers of unincorporated enterprises	F	5
Boulia (S)	Owner managers of unincorporated enterprises	M	12
Brisbane (C)		F	2023
Brisbane (C)		M	2426
Brisbane (C)	Contributing family workers	F	2963
Brisbane (C)	Contributing family workers	M	2786
Brisbane (C)	Employee	F	312803
Brisbane (C)	Employee	M	319165
Brisbane (C)	Owner managers of incorporated enterprises	F	11645
Brisbane (C)	Owner managers of incorporated enterprises	M	27402
Brisbane (C)	Owner managers of unincorporated enterprises	F	13510
Brisbane (C)	Owner managers of unincorporated enterprises	M	19500
Bulloo (S)		F	3
Bulloo (S)		M	3
Bulloo (S)	Contributing family workers	F	10
Bulloo (S)	Contributing family workers	M	8
Bulloo (S)	Employee	F	71
Bulloo (S)	Employee	M	146
Bulloo (S)	Owner managers of incorporated enterprises	F	3
Bulloo (S)	Owner managers of incorporated enterprises	M	6
Bulloo (S)	Owner managers of unincorporated enterprises	F	12
Bulloo (S)	Owner managers of unincorporated enterprises	M	18
Bundaberg (R)		F	152
Bundaberg (R)		M	169
Bundaberg (R)	Contributing family workers	F	456
Bundaberg (R)	Contributing family workers	M	418
Bundaberg (R)	Employee	F	13801
Bundaberg (R)	Employee	M	12128
Bundaberg (R)	Owner managers of incorporated enterprises	F	643
Bundaberg (R)	Owner managers of incorporated enterprises	M	1102
Bundaberg (R)	Owner managers of unincorporated enterprises	F	989
Bundaberg (R)	Owner managers of unincorporated enterprises	M	1495
Burdekin (S)		F	47
Burdekin (S)		M	70
Burdekin (S)	Contributing family workers	F	133
Burdekin (S)	Contributing family workers	M	151
Burdekin (S)	Employee	F	2807
Burdekin (S)	Employee	M	2912
Burdekin (S)	Owner managers of incorporated enterprises	F	151
Burdekin (S)	Owner managers of incorporated enterprises	M	373
Burdekin (S)	Owner managers of unincorporated enterprises	F	268
Burdekin (S)	Owner managers of unincorporated enterprises	M	466
Burke (S)	Contributing family workers	M	3
Burke (S)	Employee	F	48
Burke (S)	Employee	M	81
Burke (S)	Owner managers of incorporated enterprises	F	3
Burke (S)	Owner managers of incorporated enterprises	M	3
Burke (S)	Owner managers of unincorporated enterprises	M	3
Cairns (R)		F	319
Cairns (R)		M	349
Cairns (R)	Contributing family workers	F	482
Cairns (R)	Contributing family workers	M	460
Cairns (R)	Employee	F	30817
Cairns (R)	Employee	M	26134
Cairns (R)	Owner managers of incorporated enterprises	F	1391
Cairns (R)	Owner managers of incorporated enterprises	M	2668
Cairns (R)	Owner managers of unincorporated enterprises	F	1988
Cairns (R)	Owner managers of unincorporated enterprises	M	2842
Carpentaria (S)		F	5
Carpentaria (S)		M	13
Carpentaria (S)	Contributing family workers	F	8
Carpentaria (S)	Contributing family workers	M	12
Carpentaria (S)	Employee	F	340
Carpentaria (S)	Employee	M	373
Carpentaria (S)	Owner managers of incorporated enterprises	F	18
Carpentaria (S)	Owner managers of incorporated enterprises	M	39
Carpentaria (S)	Owner managers of unincorporated enterprises	F	14
Carpentaria (S)	Owner managers of unincorporated enterprises	M	38
Cassowary Coast (R)		F	79
Cassowary Coast (R)		M	109
Cassowary Coast (R)	Contributing family workers	F	224
Cassowary Coast (R)	Contributing family workers	M	240
Cassowary Coast (R)	Employee	F	4564
Cassowary Coast (R)	Employee	M	4443
Cassowary Coast (R)	Owner managers of incorporated enterprises	F	264
Cassowary Coast (R)	Owner managers of incorporated enterprises	M	495
Cassowary Coast (R)	Owner managers of unincorporated enterprises	F	418
Cassowary Coast (R)	Owner managers of unincorporated enterprises	M	679
Central Highlands (R) (Qld)		F	82
Central Highlands (R) (Qld)		M	125
Central Highlands (R) (Qld)	Contributing family workers	F	242
Central Highlands (R) (Qld)	Contributing family workers	M	216
Central Highlands (R) (Qld)	Employee	F	4908
Central Highlands (R) (Qld)	Employee	M	8739
Central Highlands (R) (Qld)	Owner managers of incorporated enterprises	F	292
Central Highlands (R) (Qld)	Owner managers of incorporated enterprises	M	557
Central Highlands (R) (Qld)	Owner managers of unincorporated enterprises	F	410
Central Highlands (R) (Qld)	Owner managers of unincorporated enterprises	M	523
Charters Towers (R)		F	42
Charters Towers (R)		M	39
Charters Towers (R)	Contributing family workers	F	110
Charters Towers (R)	Contributing family workers	M	123
Charters Towers (R)	Employee	F	1777
Charters Towers (R)	Employee	M	1610
Charters Towers (R)	Owner managers of incorporated enterprises	F	109
Charters Towers (R)	Owner managers of incorporated enterprises	M	144
Charters Towers (R)	Owner managers of unincorporated enterprises	F	144
Charters Towers (R)	Owner managers of unincorporated enterprises	M	179
Cherbourg (S)		F	3
Cherbourg (S)	Employee	F	176
Cherbourg (S)	Employee	M	107
Cherbourg (S)	Owner managers of unincorporated enterprises	F	3
Cherbourg (S)	Owner managers of unincorporated enterprises	M	3
Cloncurry (S)		F	9
Cloncurry (S)		M	26
Cloncurry (S)	Contributing family workers	F	21
Cloncurry (S)	Contributing family workers	M	15
Cloncurry (S)	Employee	F	702
Cloncurry (S)	Employee	M	2056
Cloncurry (S)	Owner managers of incorporated enterprises	F	40
Cloncurry (S)	Owner managers of incorporated enterprises	M	96
Cloncurry (S)	Owner managers of unincorporated enterprises	F	20
Cloncurry (S)	Owner managers of unincorporated enterprises	M	46
Cook (S)		F	9
Cook (S)		M	24
Cook (S)	Contributing family workers	F	28
Cook (S)	Contributing family workers	M	44
Cook (S)	Employee	F	938
Cook (S)	Employee	M	1564
Cook (S)	Owner managers of incorporated enterprises	F	24
Cook (S)	Owner managers of incorporated enterprises	M	59
Cook (S)	Owner managers of unincorporated enterprises	F	65
Cook (S)	Owner managers of unincorporated enterprises	M	114
Croydon (S)	Contributing family workers	F	4
Croydon (S)	Contributing family workers	M	3
Croydon (S)	Employee	F	38
Croydon (S)	Employee	M	44
Croydon (S)	Owner managers of incorporated enterprises	F	3
Croydon (S)	Owner managers of incorporated enterprises	M	5
Croydon (S)	Owner managers of unincorporated enterprises	F	3
Croydon (S)	Owner managers of unincorporated enterprises	M	8
