SA4_NAME16	HoursWorked.min	IndustryOfEmployment	workers
Far West and Orana		Agriculture forestry and fishing	109
Far West and Orana		Construction	42
Far West and Orana		Education and training	46
Far West and Orana		Electricity gas water and waste services	6
Far West and Orana		Financial and insurance services	3
Far West and Orana		Health care and social assistance	85
Far West and Orana		Information media and telecommunications	3
Far West and Orana		Manufacturing	30
Far West and Orana		Mining	47
Far West and Orana		Other services	23
Far West and Orana		Professional scientific and technical services	11
Far West and Orana		Public administration and safety	31
Far West and Orana		Rental hiring and real estate services	4
Far West and Orana		Retail trade	52
Far West and Orana		Transport postal and warehousing	26
Far West and Orana		Wholesale trade	3
Far West and Orana	0		84
Far West and Orana	0	Accommodation and food services	89
Far West and Orana	0	Administrative and support services	36
Far West and Orana	0	Agriculture forestry and fishing	146
Far West and Orana	0	Arts and recreation services	23
Far West and Orana	0	Construction	62
Far West and Orana	0	Education and training	170
Far West and Orana	0	Electricity gas water and waste services	22
Far West and Orana	0	Financial and insurance services	29
Far West and Orana	0	Health care and social assistance	355
Far West and Orana	0	Information media and telecommunications	15
Far West and Orana	0	Manufacturing	38
Far West and Orana	0	Mining	111
Far West and Orana	0	Other services	52
Far West and Orana	0	Professional scientific and technical services	36
Far West and Orana	0	Public administration and safety	203
Far West and Orana	0	Rental hiring and real estate services	5
Far West and Orana	0	Retail trade	150
Far West and Orana	0	Transport postal and warehousing	72
Far West and Orana	0	Wholesale trade	22
Far West and Orana	1		123
Far West and Orana	1	Accommodation and food services	932
Far West and Orana	1	Administrative and support services	208
Far West and Orana	1	Agriculture forestry and fishing	354
Far West and Orana	1	Arts and recreation services	84
Far West and Orana	1	Construction	117
Far West and Orana	1	Education and training	394
Far West and Orana	1	Electricity gas water and waste services	14
Far West and Orana	1	Financial and insurance services	35
Far West and Orana	1	Health care and social assistance	441
Far West and Orana	1	Information media and telecommunications	29
Far West and Orana	1	Manufacturing	108
Far West and Orana	1	Mining	36
Far West and Orana	1	Other services	168
Far West and Orana	1	Professional scientific and technical services	127
Far West and Orana	1	Public administration and safety	128
Far West and Orana	1	Rental hiring and real estate services	29
Far West and Orana	1	Retail trade	813
Far West and Orana	1	Transport postal and warehousing	129
Far West and Orana	1	Wholesale trade	54
Far West and Orana	16		98
Far West and Orana	16	Accommodation and food services	443
Far West and Orana	16	Administrative and support services	146
Far West and Orana	16	Agriculture forestry and fishing	309
Far West and Orana	16	Arts and recreation services	51
Far West and Orana	16	Construction	109
Far West and Orana	16	Education and training	455
Far West and Orana	16	Electricity gas water and waste services	13
Far West and Orana	16	Financial and insurance services	52
Far West and Orana	16	Health care and social assistance	737
Far West and Orana	16	Information media and telecommunications	26
Far West and Orana	16	Manufacturing	88
Far West and Orana	16	Mining	39
Far West and Orana	16	Other services	159
Far West and Orana	16	Professional scientific and technical services	109
Far West and Orana	16	Public administration and safety	153
Far West and Orana	16	Rental hiring and real estate services	34
Far West and Orana	16	Retail trade	549
Far West and Orana	16	Transport postal and warehousing	157
Far West and Orana	16	Wholesale trade	55
Far West and Orana	25		110
Far West and Orana	25	Accommodation and food services	478
Far West and Orana	25	Administrative and support services	149
Far West and Orana	25	Agriculture forestry and fishing	369
Far West and Orana	25	Arts and recreation services	55
Far West and Orana	25	Construction	156
Far West and Orana	25	Education and training	789
Far West and Orana	25	Electricity gas water and waste services	34
Far West and Orana	25	Financial and insurance services	68
Far West and Orana	25	Health care and social assistance	1004
Far West and Orana	25	Information media and telecommunications	29
Far West and Orana	25	Manufacturing	135
Far West and Orana	25	Mining	39
Far West and Orana	25	Other services	169
Far West and Orana	25	Professional scientific and technical services	154
Far West and Orana	25	Public administration and safety	235
Far West and Orana	25	Rental hiring and real estate services	35
Far West and Orana	25	Retail trade	663
Far West and Orana	25	Transport postal and warehousing	150
Far West and Orana	25	Wholesale trade	58
Far West and Orana	35		221
Far West and Orana	35	Accommodation and food services	376
Far West and Orana	35	Administrative and support services	234
Far West and Orana	35	Agriculture forestry and fishing	369
Far West and Orana	35	Arts and recreation services	122
Far West and Orana	35	Construction	474
Far West and Orana	35	Education and training	859
Far West and Orana	35	Electricity gas water and waste services	200
Far West and Orana	35	Financial and insurance services	130
Far West and Orana	35	Health care and social assistance	1548
Far West and Orana	35	Information media and telecommunications	113
Far West and Orana	35	Manufacturing	426
Far West and Orana	35	Mining	108
Far West and Orana	35	Other services	400
Far West and Orana	35	Professional scientific and technical services	324
Far West and Orana	35	Public administration and safety	1449
Far West and Orana	35	Rental hiring and real estate services	82
Far West and Orana	35	Retail trade	981
Far West and Orana	35	Transport postal and warehousing	258
Far West and Orana	35	Wholesale trade	190
Far West and Orana	40		241
Far West and Orana	40	Accommodation and food services	269
Far West and Orana	40	Administrative and support services	124
Far West and Orana	40	Agriculture forestry and fishing	921
Far West and Orana	40	Arts and recreation services	83
Far West and Orana	40	Construction	646
Far West and Orana	40	Education and training	631
Far West and Orana	40	Electricity gas water and waste services	188
Far West and Orana	40	Financial and insurance services	134
Far West and Orana	40	Health care and social assistance	1497
Far West and Orana	40	Information media and telecommunications	57
Far West and Orana	40	Manufacturing	482
Far West and Orana	40	Mining	162
Far West and Orana	40	Other services	343
Far West and Orana	40	Professional scientific and technical services	238
Far West and Orana	40	Public administration and safety	670
Far West and Orana	40	Rental hiring and real estate services	83
Far West and Orana	40	Retail trade	501
Far West and Orana	40	Transport postal and warehousing	251
Far West and Orana	40	Wholesale trade	241
Far West and Orana	41		115
Far West and Orana	41	Accommodation and food services	163
Far West and Orana	41	Administrative and support services	50
Far West and Orana	41	Agriculture forestry and fishing	404
Far West and Orana	41	Arts and recreation services	29
Far West and Orana	41	Construction	315
Far West and Orana	41	Education and training	374
Far West and Orana	41	Electricity gas water and waste services	64
Far West and Orana	41	Financial and insurance services	55
Far West and Orana	41	Health care and social assistance	357
Far West and Orana	41	Information media and telecommunications	29
Far West and Orana	41	Manufacturing	186
Far West and Orana	41	Mining	451
Far West and Orana	41	Other services	168
Far West and Orana	41	Professional scientific and technical services	128
Far West and Orana	41	Public administration and safety	441
Far West and Orana	41	Rental hiring and real estate services	48
Far West and Orana	41	Retail trade	313
Far West and Orana	41	Transport postal and warehousing	132
Far West and Orana	41	Wholesale trade	169
Far West and Orana	49		210
Far West and Orana	49	Accommodation and food services	475
Far West and Orana	49	Administrative and support services	111
Far West and Orana	49	Agriculture forestry and fishing	2894
Far West and Orana	49	Arts and recreation services	66
Far West and Orana	49	Construction	606
Far West and Orana	49	Education and training	730
Far West and Orana	49	Electricity gas water and waste services	79
Far West and Orana	49	Financial and insurance services	90
Far West and Orana	49	Health care and social assistance	605
Far West and Orana	49	Information media and telecommunications	46
Far West and Orana	49	Manufacturing	265
Far West and Orana	49	Mining	1162
Far West and Orana	49	Other services	299
Far West and Orana	49	Professional scientific and technical services	275
Far West and Orana	49	Public administration and safety	322
Far West and Orana	49	Rental hiring and real estate services	92
Far West and Orana	49	Retail trade	470
Far West and Orana	49	Transport postal and warehousing	420
Far West and Orana	49	Wholesale trade	249
Hunter Valley exc Newcastle			801
Hunter Valley exc Newcastle		Accommodation and food services	128
Hunter Valley exc Newcastle		Administrative and support services	41
